sentenceID,sentence,label,departure,destination
1,Réserver un billet pour Nantes,TRIP_ORDER,NULL,Nantes
2,Aller à Lyon pour une réunion,TRIP_ORDER,NULL,Lyon
3,This is not French,NOT_FRENCH,NULL,NULL
4,Réserver un hôtel à Bordeaux,NOT_TRIP,NULL,NULL
5,Visiter la Tour Eiffel,TRIP_ORDER,NULL,Paris
6,Prendre le train pour Marseille,TRIP_ORDER,NULL,Marseille
7,Je veux aller de Brest à Lyon,TRIP_ORDER,Brest,Lyon
8,je suis à Marseille et je veux aller à Rennes,TRIP_ORDER,Marseille,Rennes
9,Are you sure about that ?,NOT_FRENCH,NULL,NULL
10,Je dois me rendre à Nice demain,TRIP_ORDER,NULL,Nice
11,Can you help me with that?,NOT_FRENCH,NULL,NULL
12,Rendez-vous à Marseille pour un concert,TRIP_ORDER,NULL,Marseille
13,J'aimerais savoir où se trouve la gare,NOT_TRIP,NULL,NULL
14,Organiser un voyage à Toulouse,TRIP_ORDER,NULL,Toulouse
15,I want to go from Lyon to Nice,NOT_FRENCH,NULL,NULL
16,J'ai réservé un vol pour Montpellier,TRIP_ORDER,NULL,Montpellier
17,Je vais à la plage ce weekend,NOT_TRIP,NULL,NULL
18,Récupérer un colis à Nantes,NOT_TRIP,NULL,NULL
19,Aller à Strasbourg pour les fêtes,TRIP_ORDER,NULL,Strasbourg
20,Je pars de Tours pour aller à Nice,TRIP_ORDER,Tours,Nice
21,Démarrer de Lyon pour rejoindre Marseille,TRIP_ORDER,Lyon,Marseille
22,Visiter la cathédrale à Reims,NOT_TRIP,NULL,NULL
23,Prendre le train de Lille à Toulouse,TRIP_ORDER,Lille,Toulouse
24,Je veux aller de Bordeaux à Bordeaux,NOT_TRIP,NULL,NULL
25,Je dois prendre un vol de Nantes à Nice,TRIP_ORDER,Nantes,Nice
26,Je vais de Marseille à Lyon pour un séminaire,TRIP_ORDER,Marseille,Lyon
27,Can you tell me the time?,NOT_FRENCH,NULL,NULL
28,Je veux savoir comment aller à la gare,NOT_TRIP,NULL,NULL
29,Réserver une chambre d'hôtel à Paris,NOT_TRIP,NULL,NULL
30,Je pars de Lille à Strasbourg,TRIP_ORDER,Lille,Strasbourg
31,Visiter le Mont Saint-Michel,NOT_TRIP,NULL,NULL
32,J'ai besoin d'un train pour Avignon,TRIP_ORDER,NULL,Avignon
33,I am looking for a restaurant,NOT_FRENCH,NULL,NULL
34,Rendre visite à des amis à Grenoble,TRIP_ORDER,NULL,Grenoble
35,Je vais à Bruxelles ce week-end,NOT_FRENCH,NULL,NULL
36,Je voyage de Nice à Lyon,TRIP_ORDER,Nice,Lyon
37,Aller chercher un colis à Toulouse,NOT_TRIP,NULL,NULL
38,Réserver un billet de train pour Montpellier,TRIP_ORDER,NULL,Montpellier
39,Je suis à Angers et je veux aller à Lille,TRIP_ORDER,Angers,Lille
40,How do I get to the museum?,NOT_FRENCH,NULL,NULL
41,Je vais d'Bourges à Rennes pour un meeting,TRIP_ORDER,Bourges,Rennes
42,Organiser un voyage à Marseille,TRIP_ORDER,NULL,Marseille
43,Je veux savoir où est la bibliothèque,NOT_TRIP,NULL,NULL
44,Prendre un bus de Nantes à Lyon,TRIP_ORDER,Nantes,Lyon
45,Je suis à la maison,NOT_TRIP,NULL,NULL
46,Je pars de Strasbourg pour aller à Mulhouse,TRIP_ORDER,Strasbourg,Mulhouse
47,Je vais au cinéma ce soir,NOT_TRIP,NULL,NULL
48,Récupérer un ami à l'aéroport de Bordeaux,NOT_TRIP,NULL,NULL
49,Je vais à Toulouse pour un événement,TRIP_ORDER,NULL,Toulouse
50,Visiter le château de Chambord,NOT_TRIP,NULL,NULL
51,Aller de Rouen à Nevers pour le weekend,TRIP_ORDER,Rouen,Nevers
52,J'ai besoin d'aide pour mon projet,NOT_FRENCH,NULL,NULL
53,Réserver un train de Lyon à Marseille,TRIP_ORDER,Lyon,Marseille
54,Je vais à La Rochelle cet été,TRIP_ORDER,NULL,La Rochelle
55,Comment puis-je arriver à la gare?,NOT_TRIP,NULL,NULL
56,Je pars de Lille pour Montluçon,TRIP_ORDER,Lille,Montluçon
57,Je veux aller à l'aéroport de Nice,TRIP_ORDER,NULL,Nice
58,Aller à Montpellier pour le festival,TRIP_ORDER,NULL,Montpellier
59,This is a nice day,NOT_FRENCH,NULL,NULL
60,Je vais à Metz pour des affaires,TRIP_ORDER,NULL,Metz
61,Je suis fatigué aujourd'hui,NOT_TRIP,NULL,NULL
62,Réserver un billet pour Nantes,TRIP_ORDER,NULL,Nantes
63,Je veux aller de Châteauroux à Bruxelles,TRIP_ORDER,Châteauroux,Bruxelles
64,Rendez-vous à la bibliothèque à Lyon,NOT_TRIP,NULL,NULL
65,Je pars d'Avignon pour Aix-en-Provence,TRIP_ORDER,Avignon,Aix-en-Provence
66,Je vais me promener,NOT_TRIP,NULL,NULL
67,Prendre le train de Marseille à Nice,TRIP_ORDER,Marseille,Nice
68,Je suis à l'école,NOT_TRIP,NULL,NULL
69,Je veux aller au cinéma à Bordeaux,TRIP_ORDER,NULL,Bordeaux
70,Visiter le musée d'Orsay à Paris,NOT_TRIP,NULL,NULL
71,J'ai un rendez-vous à Lyon,NOT_TRIP,NULL,NULL
72,Je pars de Nice pour Limoges demain,TRIP_ORDER,Nice,Limoges
73,Je vais à l'opéra à Toulouse,NOT_TRIP,NULL,NULL
74,Récupérer des documents à Nantes,NOT_TRIP,NULL,NULL
75,Je voyage de Strasbourg à Lyon,TRIP_ORDER,Strasbourg,Lyon
76,J'ai besoin d'un taxi pour l'aéroport,NOT_TRIP,NULL,NULL
77,Aller de Bordeaux à Marseille pour le weekend,TRIP_ORDER,Bordeaux,Marseille
78,Je vais à l'école demain,NOT_TRIP,NULL,NULL
79,Réserver un vol de Niort à Toulouse,TRIP_ORDER,Niort,Toulouse
80,Je pars en vacances,NOT_TRIP,NULL,NULL
81,Je veux aller de Lille à Dijon,TRIP_ORDER,Lille,Dijon
82,Récupérer un ami à l'aéroport de Nice,NOT_TRIP,NULL,NULL
83,Aller à Lille pour le festival,TRIP_ORDER,NULL,Lille
84,Je suis en train de lire,NOT_TRIP,NULL,NULL
85,Réserver un hôtel à Lyon,NOT_TRIP,NULL,NULL
86,Je voyage d'Avignon à Bordeaux,TRIP_ORDER,Avignon,Bordeaux
87,Je veux un café,NOT_TRIP,NULL,NULL
88,Visiter le jardin des Tuileries,NOT_TRIP,NULL,NULL
89,Je vais à Rennes pour le concert,TRIP_ORDER,NULL,Rennes
90,Aller à Strasbourg pour le marché de Noël,TRIP_ORDER,NULL,Strasbourg
91,Je ne comprends pas,NOT_FRENCH,NULL,NULL
92,Récupérer mes affaires à Bordeaux,NOT_TRIP,NULL,NULL
93,Je pars de Nice à Marseille pour le week-end,TRIP_ORDER,Nice,Marseille
94,J'ai besoin de plus de temps,NOT_TRIP,NULL,NULL
95,Je vais de Lyon à Toulouse,TRIP_ORDER,Lyon,Toulouse
96,Aller à Metz pour une réunion,TRIP_ORDER,NULL,Metz
97,Visiter le château de Versailles,NOT_TRIP,NULL,NULL
98,Je suis à Paris pour les vacances,NOT_TRIP,NULL,NULL
99,Je vais de Nantes à Rennes pour un rendez-vous,TRIP_ORDER,Nantes,Rennes
100,Je veux aller au supermarché,NOT_TRIP,NULL,NULL
101,Je pars de Lyon pour Marseille demain,TRIP_ORDER,Lyon,Marseille
102,Aller à Nice pour le week-end,TRIP_ORDER,NULL,Nice
103,Where is the nearest train station?,NOT_FRENCH,NULL,NULL
104,Réserver un vol pour Bordeaux,NOT_TRIP,NULL,NULL
105,Je vais à Avignon pour les vacances,TRIP_ORDER,NULL,Avignon
106,I need to find my way,NOT_FRENCH,NULL,NULL
107,Récupérer un colis à Toulouse,NOT_TRIP,NULL,NULL
108,Je voyage de Angoulême à Nantes,TRIP_ORDER,Angoulême,Nantes
109,J'ai oublié mes clés à la maison,NOT_TRIP,NULL,NULL
110,Visiter le Louvre à Paris,NOT_TRIP,NULL,NULL
111,Je vais d'Aix-en-Provence à Marseille,TRIP_ORDER,Aix-en-Provence,Marseille
112,Aller à Lyon pour un concert,TRIP_ORDER,NULL,Lyon
113,Je suis en vacances à Nice,NOT_TRIP,NULL,NULL
114,Je dois prendre le train pour Strasbourg,TRIP_ORDER,NULL,Strasbourg
115,Can you help me find the bus?,NOT_FRENCH,NULL,NULL
116,Réserver un train de Lille à Agen,TRIP_ORDER,Lille,Agen
117,Je vais à Rennes pour un séminaire,TRIP_ORDER,NULL,Rennes
118,Je veux un sandwich,NOT_TRIP,NULL,NULL
119,Aller de Bordeaux à Nice pour le festival,TRIP_ORDER,Bordeaux,Nice
120,Je ne comprends pas l'anglais,NOT_FRENCH,NULL,NULL
121,Je pars de Montpellier à Lyon,TRIP_ORDER,Montpellier,Lyon
122,Récupérer ma voiture à l'aéroport de Nice,NOT_TRIP,NULL,NULL
123,Réserver un hôtel à Marseille,NOT_TRIP,NULL,NULL
124,Je vais de Strasbourg à Dijon,TRIP_ORDER,Strasbourg,Dijon
125,Aller à Paris pour le nouvel an,TRIP_ORDER,NULL,Paris
126,Je suis à l'école aujourd'hui,NOT_TRIP,NULL,NULL
127,Visiter le château de Chambord,NOT_TRIP,NULL,NULL
128,Je pars d'Amiens à Lille,TRIP_ORDER,Amiens,Lille
129,Je vais à La Rochelle pour les vacances,TRIP_ORDER,NULL,La Rochelle
130,How do I get to the airport?,NOT_FRENCH,NULL,NULL
131,Je vais à Grenoble pour une conférence,TRIP_ORDER,NULL,Grenoble
132,Je veux un café au lait,NOT_TRIP,NULL,NULL
133,Réserver un train de Marseille à Nice,TRIP_ORDER,Marseille,Nice
134,Je suis à la maison,NOT_TRIP,NULL,NULL
135,Récupérer mes affaires à l'université,NOT_TRIP,NULL,NULL
136,Je voyage de Nantes à Rennes,TRIP_ORDER,Nantes,Rennes
137,Visiter la cathédrale à Strasbourg,NOT_TRIP,NULL,NULL
138,Je vais à Lille pour le festival,TRIP_ORDER,NULL,Lille
139,Je suis dans le métro,NOT_TRIP,NULL,NULL
140,Je pars de Brive-la-Gaillarde à Toulouse pour le week-end,TRIP_ORDER,Brive-la-Gaillarde,Toulouse
141,Réserver un vol pour Lyon,NOT_TRIP,NULL,NULL
142,Je vais à Rouen pour une réunion,TRIP_ORDER,NULL,Rouen
143,Can I get a glass of water?,NOT_FRENCH,NULL,NULL
144,Je veux aller à Bordeaux pour les vacances,TRIP_ORDER,NULL,Bordeaux
145,Je suis dans le bus,NOT_TRIP,NULL,NULL
146,Aller à Metz pour le festival de musique,TRIP_ORDER,NULL,Metz
147,Je vais de Nice à Paris,TRIP_ORDER,Nice,Paris
148,Je vais à la plage ce week-end,NOT_TRIP,NULL,NULL
149,Je suis très fatigué,NOT_TRIP,NULL,NULL
150,Visiter le musée Picasso à Paris,NOT_TRIP,NULL,NULL
151,Réserver un train de Nantes à Lyon,TRIP_ORDER,Nantes,Lyon
152,Je vais à Toulouse pour le festival,TRIP_ORDER,NULL,Toulouse
153,Je suis très content aujourd'hui,NOT_TRIP,NULL,NULL
154,Aller de Lyon à Marseille pour un concert,TRIP_ORDER,Lyon,Marseille
155,J'ai besoin de mes documents,NOT_TRIP,NULL,NULL
156,Je veux aller de Marseille à Nice,TRIP_ORDER,Marseille,Nice
157,Visiter le jardin des plantes à Paris,NOT_TRIP,NULL,NULL
158,Je vais à Clermont-Ferrand pour un séminaire,TRIP_ORDER,NULL,Clermont-Ferrand
159,Je suis en train de travailler,NOT_TRIP,NULL,NULL
160,Prendre le train de Dijon à Lyon,TRIP_ORDER,Dijon,Lyon
161,Je vais au marché ce matin,NOT_TRIP,NULL,NULL
162,Je pars d'Avignon à Toulouse,TRIP_ORDER,Avignon,Toulouse
163,Je veux un gâteau,NOT_TRIP,NULL,NULL
164,Aller à Bayonne pour le nouvel an,TRIP_ORDER,NULL,Bayonne
165,Je suis très heureux,NOT_TRIP,NULL,NULL
166,Récupérer ma valise à l'aéroport,NOT_TRIP,NULL,NULL
167,Je voyage de Marseille à Bayonne,TRIP_ORDER,Marseille,Bayonne
168,Visiter le musée d'Orsay à Paris,NOT_TRIP,NULL,NULL
169,Je vais à Saint-Étienne pour un meeting,TRIP_ORDER,NULL,Saint-Étienne
170,J'ai besoin de repos,NOT_TRIP,NULL,NULL
171,Je pars de Lyon à Bordeaux demain,TRIP_ORDER,Lyon,Bordeaux
172,Réserver un vol pour Toulouse,NOT_TRIP,NULL,NULL
173,Je veux savoir où se trouve le restaurant,NOT_TRIP,NULL,NULL
174,Aller de Nice à Strasbourg,TRIP_ORDER,Nice,Strasbourg
175,Je suis à l'aéroport,NOT_TRIP,NULL,NULL
176,Je vais à Nancy pour une conférence,TRIP_ORDER,NULL,Nancy
177,Visiter le château de Versailles,NOT_TRIP,NULL,NULL
178,Récupérer un ami à l'aéroport de Marseille,NOT_TRIP,NULL,NULL
179,Je veux aller à Lille pour le weekend,TRIP_ORDER,NULL,Lille
180,Je suis fatigué,NOT_TRIP,NULL,NULL
181,Je pars de Bordeaux à Nantes,TRIP_ORDER,Bordeaux,Nantes
182,Réserver un train pour Nice,NOT_TRIP,NULL,NULL
183,Je vais à Angers pour le festival,TRIP_ORDER,NULL,Angers
184,Aller à Paris pour les vacances,TRIP_ORDER,NULL,Paris
185,Je suis content de te voir,NOT_TRIP,NULL,NULL
186,Récupérer ma commande à la boutique,NOT_TRIP,NULL,NULL
187,Je vais de Toulouse à Bordeaux,TRIP_ORDER,Toulouse,Bordeaux
188,Visiter le parc de la Villette à Paris,NOT_TRIP,NULL,NULL
189,Je suis à l'université,NOT_TRIP,NULL,NULL
190,Aller à Marseille pour le festival de jazz,TRIP_ORDER,NULL,Marseille
191,J'ai besoin d'un taxi pour l'aéroport,NOT_TRIP,NULL,NULL
192,Je vais à Lyon pour les vacances,TRIP_ORDER,NULL,Lyon
193,Réserver un hôtel à Nice,NOT_TRIP,NULL,NULL
194,Je veux savoir comment aller au musée,NOT_TRIP,NULL,NULL
195,Je pars de Nantes à Lille,TRIP_ORDER,Nantes,Lille
196,Je vais à Clermont-Ferrand pour un événement,TRIP_ORDER,NULL,Clermont-Ferrand
197,J'ai besoin d'aide pour mes devoirs,NOT_TRIP,NULL,NULL
198,Récupérer mes affaires à la bibliothèque,NOT_TRIP,NULL,NULL
199,Aller de Rouen à Carcassonne pour un concert,TRIP_ORDER,Rouen,Carcassonne
200,Je suis au téléphone,NOT_TRIP,NULL,NULL
201,Je pars de Lille à Bordeaux pour le week-end,TRIP_ORDER,Lille,Bordeaux
202,Aller à Nîmes pour un concert,TRIP_ORDER,NULL,Nîmes
203,Where can I find a good restaurant?,NOT_FRENCH,NULL,NULL
204,Réserver un vol pour Marseille,NOT_TRIP,NULL,NULL
205,Je vais à Annecy pour les vacances,TRIP_ORDER,NULL,Annecy
206,I am looking for my keys,NOT_FRENCH,NULL,NULL
207,Récupérer un colis à Montpellier,NOT_TRIP,NULL,NULL
208,Je voyage de Dijon à Strasbourg,TRIP_ORDER,Dijon,Strasbourg
209,J'ai oublié mon téléphone à la maison,NOT_TRIP,NULL,NULL
210,Visiter le Palais des Papes à Avignon,NOT_TRIP,NULL,NULL
211,Je vais de Nantes à Rouen,TRIP_ORDER,Nantes,Rouen
212,Aller à Nice pour les vacances,TRIP_ORDER,NULL,Nice
213,Je suis à Metz ce week-end,NOT_TRIP,NULL,NULL
214,Je dois prendre le train pour Avignon,TRIP_ORDER,NULL,Avignon
215,Can you help me find my way?,NOT_FRENCH,NULL,NULL
216,Réserver un train de Bordeaux à Toulouse,TRIP_ORDER,Bordeaux,Toulouse
217,Je vais à La Rochelle pour un séminaire,TRIP_ORDER,NULL,La Rochelle
218,Je veux un café noir,NOT_TRIP,NULL,NULL
219,Aller de Lyon à Dijon pour le festival,TRIP_ORDER,Lyon,Dijon
220,Je ne comprends pas le français,NOT_FRENCH,NULL,NULL
221,Je pars de Grenoble à Nice,TRIP_ORDER,Grenoble,Nice
222,Récupérer ma voiture à l'aéroport de Bordeaux,NOT_TRIP,NULL,NULL
223,Réserver un hôtel à Paris,NOT_TRIP,NULL,NULL
224,Je vais de Montpellier à Lille,TRIP_ORDER,Montpellier,Lille
225,Aller à Nantes pour le carnaval,TRIP_ORDER,NULL,Nantes
226,Je suis à l'école ce matin,NOT_TRIP,NULL,NULL
227,Visiter le château de Chenonceau,NOT_TRIP,NULL,NULL
228,Je pars d'Avignon à Marseille,TRIP_ORDER,Avignon,Marseille
229,Je vais à Saint-Malo pour les vacances,TRIP_ORDER,NULL,Saint-Malo
230,How do I get to the nearest hospital?,NOT_FRENCH,NULL,NULL
231,Je vais à Chambéry pour un rendez-vous,TRIP_ORDER,NULL,Chambéry
232,Je veux un croissant,NOT_TRIP,NULL,NULL
233,Réserver un train de Lyon à Nice,TRIP_ORDER,Lyon,Nice
234,Je suis à la maison,NOT_TRIP,NULL,NULL
235,Récupérer mes affaires à l'université,NOT_TRIP,NULL,NULL
236,Je voyage de Toulouse à Lille,TRIP_ORDER,Toulouse,Lille
237,Visiter la cathédrale de Chartres,NOT_TRIP,NULL,NULL
238,Je vais à Perpignan pour un concert,TRIP_ORDER,NULL,Perpignan
239,Je suis dans le bus,NOT_TRIP,NULL,NULL
240,Je pars de Nice à Marseille,TRIP_ORDER,Nice,Marseille
241,Réserver un vol pour Strasbourg,NOT_TRIP,NULL,NULL
242,Je vais à Rouen pour une réunion,TRIP_ORDER,NULL,Rouen
243,Can I get a cup of coffee?,NOT_FRENCH,NULL,NULL
244,Je veux aller à Lyon pour les vacances,TRIP_ORDER,NULL,Lyon
245,Je suis dans le métro à Paris,NOT_TRIP,NULL,NULL
246,Aller à Brest pour le festival maritime,TRIP_ORDER,NULL,Brest
247,Je vais de Metz à Brioude,TRIP_ORDER,Metz,Brioude
248,Je vais à la plage à Biarritz,TRIP_ORDER,NULL,Biarritz
249,This is a nice day,NOT_FRENCH,NULL,NULL
250,Je pars de Dijon à Lyon demain,TRIP_ORDER,Dijon,Lyon
251,Réserver un train pour Nantes,NOT_TRIP,NULL,NULL
252,Je veux savoir où se trouve le musée,NOT_TRIP,NULL,NULL
253,Aller de Nice à Toulouse,TRIP_ORDER,Nice,Toulouse
254,Je suis à l'aéroport de Nice,NOT_TRIP,NULL,NULL
255,Je vais à Avignon pour un événement,TRIP_ORDER,NULL,Avignon
256,Visiter le musée Fabre à Montpellier,NOT_TRIP,NULL,NULL
257,J'ai besoin d'aide pour mes devoirs,NOT_TRIP,NULL,NULL
258,Récupérer mes affaires à la bibliothèque,NOT_TRIP,NULL,NULL
259,Aller de Lille à Dijon pour un concert,TRIP_ORDER,Lille,Dijon
260,Je suis au téléphone,NOT_TRIP,NULL,NULL
261,Je vais à Cannes pour le festival de cinéma,TRIP_ORDER,NULL,Cannes
262,Je veux un sandwich au jambon,NOT_TRIP,NULL,NULL
263,Réserver un train de Nîmes à Lyon,TRIP_ORDER,Nîmes,Lyon
264,Je vais à Rouen pour les vacances,TRIP_ORDER,NULL,Rouen
265,Je suis très heureux aujourd'hui,NOT_TRIP,NULL,NULL
266,Je vais à Tarbes pour un séminaire,TRIP_ORDER,NULL,Tarbes
267,Visiter le parc des Buttes-Chaumont à Paris,NOT_TRIP,NULL,NULL
268,Je pars d'Orléans à Tours,TRIP_ORDER,Orléans,Tours
269,Réserver un vol pour Marseille,NOT_TRIP,NULL,NULL
270,Je vais à Saint-Étienne pour un événement,TRIP_ORDER,NULL,Saint-Étienne
271,J'ai besoin d'un taxi pour l'aéroport,NOT_TRIP,NULL,NULL
272,Aller de Strasbourg à Lyon pour le week-end,TRIP_ORDER,Strasbourg,Lyon
273,Je vais à Reims pour un mariage,TRIP_ORDER,NULL,Reims
